Date,AAPL,BA,COST,GS,SLB,V,WMT
2023-09-06,181.9788055419922,217.9499969482422,531.1621704101562,312.52191162109375,59.590606689453125,244.23719787597656,53.10643768310547
2023-09-07,176.65602111816406,216.0500030517578,533.0372924804688,313.3296813964844,59.42453384399414,245.20953369140625,53.76422119140625
2023-09-08,177.27285766601562,211.27000427246094,535.5343627929688,316.7942199707031,58.77977752685547,245.35833740234375,53.862892150878906
2023-09-11,178.44686889648438,211.00999450683594,542.9088134765625,315.9475402832031,59.36591720581055,245.28890991210938,54.05036163330078
2023-09-12,175.4024658203125,210.64999389648438,542.9183959960938,322.030029296875,60.665184020996094,245.3682861328125,54.10955810546875
2023-09-13,173.32308959960938,208.39999389648438,543.8609008789062,326.00067138671875,59.21937942504883,245.89413452148438,54.12271499633789
2023-09-14,174.84530639648438,209.0500030517578,548.7286376953125,335.3336181640625,60.17674255371094,239.6135711669922,54.349647521972656
2023-09-15,174.11900329589844,208.11000061035156,540.5574951171875,333.3580322265625,59.1803092956543,239.1869354248047,54.14902877807617
2023-09-18,177.06393432617188,205.1199951171875,546.73681640625,334.1170959472656,59.79574966430664,242.7489013671875,53.74777603149414
2023-09-19,178.15835571289062,204.47999572753906,548.3204956054688,332.7254638671875,59.03377151489258,241.65750122070312,53.734622955322266
2023-09-20,174.59657287597656,202.3699951171875,547.8154296875,327.674560546875,58.40856170654297,239.97076416015625,53.908935546875
2023-09-21,173.04449462890625,199.9499969482422,539.3137817382812,321.3876953125,57.46097183227539,234.76177978515625,53.25443649291992
2023-09-22,173.90013122558594,197.7100067138672,542.7241821289062,319.1007385253906,57.67588806152344,233.24374389648438,53.39586639404297
2023-09-25,175.18357849121094,198.77999877929688,542.7532348632812,320.0252380371094,58.45740509033203,231.53717041015625,53.63266372680664
2023-09-26,171.0845489501953,195.63999938964844,537.2540283203125,315.13983154296875,57.76381301879883,227.85614013671875,53.44519805908203
2023-09-27,169.5623321533203,195.4600067138672,547.52392578125,313.3199462890625,59.395225524902344,227.7073211669922,53.18865966796875
2023-09-28,169.82101440429688,190.42999267578125,552.4789428710938,316.4828186035156,59.53199005126953,229.85044860839844,53.45835494995117
2023-09-29,170.33837890625,191.67999267578125,548.9132080078125,314.8965148925781,56.95298385620117,228.21331787109375,52.599937438964844
2023-10-02,172.8654327392578,187.8300018310547,555.082763671875,309.9624328613281,56.60130310058594,229.4635009765625,52.65584945678711
2023-10-03,171.5222930908203,188.9199981689453,548.990966796875,297.9142761230469,57.25582504272461,227.02272033691406,52.323673248291016
2023-10-04,172.77590942382812,186.72999572753906,555.5589599609375,300.32781982421875,54.54005432128906,229.4138946533203,52.95185470581055
2023-10-05,174.01953125,186.2899932861328,553.3436889648438,302.1768798828125,54.1199951171875,231.65623474121094,52.32038116455078
2023-10-06,176.58641052246094,187.3800048828125,541.6943359375,304.1037902832031,54.41305923461914,233.2040252685547,51.442230224609375
2023-10-09,178.07876586914062,188.49000549316406,543.09326171875,304.23028564453125,56.89437484741211,232.60874938964844,51.254764556884766
2023-10-10,177.4818115234375,193.52999877929688,546.124755859375,306.3323669433594,57.26559066772461,234.7518768310547,51.8336181640625
2023-10-11,178.88462829589844,196.07000732421875,549.457275390625,304.6293029785156,57.40235900878906,233.83905029296875,52.04082107543945
2023-10-12,179.7899932861328,191.3000030517578,547.7667846679688,301.5442810058594,57.021366119384766,234.9304656982422,52.27762222290039
2023-10-13,177.93948364257812,184.91000366210938,550.7398071289062,301.009033203125,57.59773635864258,235.81350708007812,52.567054748535156
2023-10-16,177.8101348876953,184.92999267578125,555.9864501953125,305.9626159667969,58.076416015625,238.1947784423828,53.02092742919922
2023-10-17,176.24813842773438,185.60000610351562,558.02685546875,301.0673828125,58.84816360473633,239.31593322753906,53.08999252319336
2023-10-18,174.94479370117188,185.69000244140625,558.3182983398438,293.86578369140625,59.1900749206543,235.6150665283203,53.129459381103516
2023-10-19,174.5667266845703,182.7899932861328,549.5641479492188,291.1700134277344,58.58440399169922,231.983642578125,52.8762092590332
2023-10-20,171.9998779296875,180.0399932861328,537.2249145507812,292.0069580078125,56.86506271362305,231.55702209472656,52.21513366699219
2023-10-23,172.11924743652344,181.02999877929688,536.60302734375,291.19921875,57.480506896972656,229.72145080566406,52.955142974853516
2023-10-24,172.55699157714844,182.36000061035156,536.1658935546875,291.1603088378906,55.683021545410156,232.8170928955078,53.69186782836914
2023-10-25,170.22891235351562,177.72999572753906,534.3683471679688,288.8052062988281,55.311798095703125,234.99989318847656,53.530704498291016
2023-10-26,166.04034423828125,179.08999633789062,532.0463256835938,289.02899169921875,54.57912826538086,229.47341918945312,53.205108642578125
2023-10-27,167.3635711669922,179.69000244140625,527.6061401367188,282.1387939453125,54.54005432128906,227.4791259765625,53.00777053833008
2023-10-30,169.42303466796875,182.35000610351562,539.1195678710938,292.76605224609375,55.096885681152344,231.2593536376953,53.61621856689453
2023-10-31,169.90060424804688,186.82000732421875,536.7489013671875,295.4715270996094,54.37398147583008,233.26358032226562,53.74448776245117
2023-11-01,173.0843048095703,189.3800048828125,540.9849243164062,298.9264221191406,54.56936264038086,236.71640014648438,54.22467803955078
2023-11-02,176.66598510742188,192.00999450683594,541.1698608398438,305.3494873046875,56.03470230102539,241.3499298095703,54.438453674316406
2023-11-03,175.7506561279297,195.0500030517578,545.96875,318.83795166015625,55.55602264404297,241.69717407226562,54.15560531616211
2023-11-06,178.31752014160156,192.9499969482422,554.6511840820312,315.2273864746094,55.17503356933594,241.58804321289062,54.22796630859375
2023-11-07,180.89434814453125,191.41000366210938,556.0626220703125,315.2663269042969,52.09782028198242,242.85806274414062,54.4812126159668
2023-11-08,181.95889282226562,191.8300018310547,552.2761840820312,315.8599853515625,51.70705795288086,242.51998901367188,54.03720474243164
2023-11-09,181.48133850097656,193.3300018310547,548.275634765625,312.1813049316406,51.521453857421875,240.26290893554688,53.9122200012207
2023-11-10,185.6953582763672,196.64999389648438,561.7569580078125,316.7845153808594,52.06850814819336,243.8523406982422,54.6588134765625
2023-11-13,184.10140991210938,204.5399932861328,562.8373413085938,318.14697265625,52.75233840942383,243.27565002441406,55.14886474609375
2023-11-14,186.73141479492188,207.47000122070312,575.0726928710938,329.64044189453125,53.0942497253418,245.53271484375,55.13899612426758
2023-11-15,187.29925537109375,208.7100067138672,580.8936157226562,328.5504455566406,52.439727783203125,246.69602966308594,55.839542388916016
2023-11-16,188.9928436279297,206.60000610351562,563.1780395507812,327.6453857421875,50.906005859375,247.15341186523438,51.3205451965332
